copy,likes
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!",190
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",919
"""가난뱅이 영애, 재클린의 인생 역전! 황금의 땅, 신대륙에서 펼쳐지는 모험과 사랑 이야기!""",734
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 파란만장한 인생 역전이 시작됩니다!",603
"가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 떠나다!",202
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",207
"가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 향하다!",717
"""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다! 과연 그녀는 편견을 이겨내고 성공할 수 있을까?""",550
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을까?",591
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",523
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴 후작! 과연 재클린은 프레스턴 후작가의 가정교사로 무사히 살아남을 수 있을까?",553
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",651
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 로맨스와 스릴러가 결합된 이 웹소설을 지금 바로 만나보세요!",565
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",589
"""가난뱅이 영애, 재클린의 인생역전! 황금의 땅, 신대륙에서 펼쳐지는 모험과 사랑 이야기!""",425
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 모험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신. 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어갈 수 있을까?",567
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",631
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",581
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 인생 2회차가 시작된다!",879
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",311
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린! 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",551
"황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적인 만남이 시작됩니다.",293
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣을 수 있을까?",107
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",734
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 탐험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신과 복수! 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어가 어머니를 모셔올 수 있을까?",963
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",153
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",731
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 그녀는 과연 막대한 부를 손에 넣을 수 있을까?",588
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 가난뱅이 영애 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",445
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 인생 2회차가 시작된다!",291
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",842
"황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 펼쳐지는 로맨스와 모험의 대서사시!",668
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",728
"가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 향하다!",263
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",236
"""꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",857
"""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!""",928
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",290
"""꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 두 사람의 운명적인 만남이 시작된다!""",333
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",474
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣고 행복해질 수 있을까?",884
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",744
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",755
"황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 피어나는 사랑과 우정!",726
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 '가난뱅이 영애'라는 꼬리표를 떼고 새로운 삶을 시작할 수 있을까?",610
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",245
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",731
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",989
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣을 수 있을까?",131
"황금의 땅을 찾아 나선 아버지의 실종, 그리고 파산한 백작가의 딸 재클린. 그녀가 귀족가의 망나니 도련님을 가르치기 위해 가정교사가 되었다! 과연 재클린은 도련님을 바른길로 인도하고 백작가를 다시 일으킬 수 있을 것인가?",587
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 택한 일자리는 프레스턴 경의 저택의 가정교사! 하지만 그곳은 왕실과 후작가의 양육권 분쟁의 중심지였다. 과연 재클린은 무사히 가정교사 생활을 이어갈 수 있을까?",622
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",800
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 될까?",686
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",703
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!",250
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",752
"""꿈의 대륙을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명적인 만남이 시작된다!""",783
"황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적 만남이 시작된다!",448
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을까?",710
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",358
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",928
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",184
"""꿈의 대륙을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. '가난뱅이 영애' 재클린은 프레스턴 경의 저택에 가정교사로 들어가면서 새로운 삶을 시작하는데...""",514
"""가난뱅이 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 이들의 운명은 어떻게 될 것인가? 지금 바로 웹소설에서 확인하세요!""",351
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",438
"바다 건너의 황금의 땅, 꿈의 신대륙을 찾아 떠나는 모험! 파산한 백작가의 영애 재클린과 검은 함대의 악마 윈저 프레스턴 후작의 운명적인 만남!",973
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣고 행복해질 수 있을까?",407
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",565
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 택한 일자리는 프레스턴 경의 저택의 가정교사! 과연 그녀는 무사히 일자리를 지킬 수 있을까?",486
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 가난뱅이 영애 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",708
"""꿈의 대륙을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 영애 재클린, 그녀는 프레스턴 경의 저택의 가정교사가 되는데...""",977
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",700
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을까?",541
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀에게 찾아온 새로운 기회와 운명!",661
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",240
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",928
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",993
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!",114
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 과연 그녀는 무사히 가정교사 생활을 이어갈 수 있을까?",399
"황금의 땅을 찾아 떠난 아버지, 그리고 몰락한 백작가의 영애 재클린. 그녀가 택한 마지막 희망은 프레스턴 후작가의 가정교사! 과연 재클린은 무사히 가정교사로 살아남을 수 있을까?",339
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",603
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",379
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",126
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 탐험가들의 이야기! 그 속에서 펼쳐지는 로맨스와 모험, 그리고 성장! 지금 바로 읽어보세요!",479
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 이 둘의 운명은 어떻게 될까?",608
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 모험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신. 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어가 어머니를 모셔올 수 있을까?",796
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린! 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",968
"황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 피어나는 사랑과 우정!",239
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",246
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 파란만장한 인생 역전 스토리!",839
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 무사히 신대륙에 도착해 막대한 부를 얻을 수 있을까?",844
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",751
"바다 건너의 땅은 미지의 세계였고, 막대한 부를 가져다줄 황금의 땅이었다. 꿈의 대륙을 찾아 나선 재클린의 모험이 시작된다!",920
"""꿈의 대륙을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",762
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 무사히 신대륙에 도착해 막대한 부를 거머쥘 수 있을까?",606
"""꿈의 대륙을 찾아 나선 서머셋 백작 가의 이야기, 지금 바로 시작합니다!""",885
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 영애 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 될까?",548
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",398
"바다 건너의 땅은 미지의 세계였고, 그에게 막대한 부를 가져다줄 황금의 땅이었다. 하지만 그곳은 아무나 갈 수 없는 땅이었다. 수개월의 항해 끝에야 간신히 다다를 수 있는 신비의 대륙. 죽음의 협곡이라 불리는 골짜기를 통과해야 했고, 불시에 찾아오는 거센 태풍을 이겨내야 했다. 해적의 눈에 띄지 않을 운도 필요했다. 꿈의 대륙이라 불리는 이곳에 발을 디딜 용기있는 자는 누구인가?",579
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",819
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 '가난뱅이 영애'에서 벗어나 새로운 삶을 시작할 수 있을까?",120
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",374
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",558
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",719
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",499
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",478
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 향한 곳은 윈저 프레스턴 후작의 저택! 과연 그녀는 이곳에서 새로운 삶을 찾을 수 있을까?",759
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 과연 그녀는 새로운 삶을 찾을 수 있을 것인가?",944
"가난뱅이 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 이들의 운명은 어떻게 될 것인가?",157
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험! 파산한 백작가의 영애 재클린과 검은 함대의 악마 윈저 프레스턴 후작의 운명적 만남!",696
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",351
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 인생 2회차가 시작된다!",552
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",473
"""가난뱅이 영애 재클린, 황금의 땅을 찾아 나서다! 모험과 사랑이 기다리는 웹소설, 지금 바로 읽어보세요!""",800
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",805
"황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적 만남이 시작된다!",272
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",668
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",993
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",753
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀에게 찾아온 새로운 기회와 운명!",706
"""가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 향하다!""",402
"""꿈의 대륙을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 재클린은 새로운 삶을 찾을 수 있을까?""",692
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!",983
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",287
"가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로!",718
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",641
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",814
"황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적 만남이 시작된다!",484
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 과연 재클린은 무사히 가정교사 생활을 이어갈 수 있을까?",998
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",353
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",518
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",833
"황금의 땅을 찾아 떠난 아버지, 하지만 그는 돌아오지 못했다. 하루 아침에 파산한 백작가의 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",999
"가난뱅이 영애 재클린, 귀족가의 도련님을 가르치다!",693
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 파란만장한 일대기가 펼쳐진다!",749
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 그녀는 과연 막대한 부를 손에 넣을 수 있을까?",730
"""꿈의 대륙을 찾아 나선 서머셋 백작 가의 영애, 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴. 두 사람의 운명적인 만남이 시작된다!""",321
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",558
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 택한 일자리는 프레스턴 경의 저택의 가정교사! 과연 그녀는 무사히 일자리를 지킬 수 있을까?",517
"""가난뱅이 영애, 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 될까?""",738
"황금의 땅을 찾아 떠난 아버지, 그리고 몰락한 백작가의 영애 재클린. 그녀가 향한 곳은 윈저 프레스턴 후작의 저택?! 과연 재클린은 새로운 삶을 찾을 수 있을까?",900
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",905
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",528
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",628
"황금의 땅을 찾아 나선 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 두 사람의 운명은 어떻게 이어질까?",190
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마' 윈저 프레스턴! 과연 재클린은 무사히 가정교사 생활을 이어갈 수 있을까?",563
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",344
"'꿈의 대륙'을 찾아 나선 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴 후작! 과연 재클린은 프레스턴 후작가의 가정교사로 무사히 살아남을 수 있을까?",461
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 탐험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신과 복수! 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어가 어머니를 모셔올 수 있을까?",470
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 제국의 황후로, 그녀의 화려한 변신이 시작된다!",896
"황금의 땅을 찾아 나선 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀가 향한 곳은 프레스턴 후작의 저택! 과연 그녀는 이곳에서 새로운 삶을 찾을 수 있을까?",624
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될까?",526
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",931
"황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 펼쳐지는 로맨스와 모험의 대서사시!",848
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴 후작! 과연 재클린은 무사히 가정교사 생활을 이어갈 수 있을까?",573
"황금의 땅을 찾아 나선 탐험가들의 이야기, 그 속에서 피어나는 사랑과 우정!",546
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",112
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 가난뱅이 영애 재클린. 그녀의 앞에 나타난 검은 함대의 악마, 윈저 프레스턴! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",875
